xs,ts,gprs,pgprs,bingprs
-1.3561072,1.4212077,reject,p1_reject,reject
0.4441711,2.3490644,reject,p2_reject,reject
-1.5820967,2.652022,reject,p1_reject,unrealized
-0.1707559,4.4050655,reject,p2_reject,unrealized
-1.2904693,4.7731895,reject,p1_reject,unrealized
-0.12902817,4.8098564,reject,p2_reject,unrealized
1.1961821,5.336365,accept,p2_accept,accept
-0.24083114,5.9575663,reject,p2_reject,unrealized
0.20635459,10.850554,reject,p2_reject,unrealized
0.8891671,11.407155,reject,p1_accept,unrealized
-1.1303467,13.381372,reject,p2_reject,unrealized
-1.6893231,13.636305,reject,p2_reject,unrealized
0.25115955,13.868996,reject,p1_reject,unrealized
-2.0003858,14.013062,reject,p1_reject,unrealized
-1.1872847,14.306486,reject,p1_reject,unrealized
1.3919824,15.7750635,reject,p2_reject,unrealized
-0.02800628,16.031155,reject,p1_reject,unrealized
0.43905252,19.034634,reject,p1_reject,unrealized
-1.3843597,19.807886,reject,p1_reject,unrealized
1.5620507,20.70203,reject,p1_reject,unrealized
0.7788821,24.591616,reject,p2_reject,unrealized
-0.43870494,24.925888,reject,p1_reject,unrealized
-0.08802975,27.97465,reject,p2_reject,unrealized
0.105887294,29.457365,reject,p2_reject,unrealized
0.14074731,29.915733,reject,p2_reject,unrealized
-0.03599349,30.535774,reject,p2_reject,unrealized
-1.036712,31.266764,reject,p2_reject,unrealized
-1.4172707,31.653482,reject,p2_reject,unrealized
-0.73417777,31.760866,reject,p1_reject,unrealized
0.78787166,32.605133,reject,p1_reject,unrealized
-0.7585578,36.1143,reject,p1_reject,unrealized
1.5936569,37.14263,reject,p2_reject,unrealized
-0.9382234,38.10085,reject,p1_reject,unrealized
2.2909524,38.524063,reject,p1_reject,unrealized
-0.28204304,39.479454,reject,p2_reject,unrealized
0.6502349,40.69748,reject,p2_reject,unrealized
-0.2829856,40.798256,reject,p2_reject,unrealized
1.7735795,40.930958,reject,p1_reject,unrealized
-1.8331379,41.61495,reject,p1_reject,unrealized
1.61838,43.555965,reject,p1_reject,unrealized
0.20435627,45.45819,reject,p1_reject,unrealized
