xs,phis
-2.0,0.0
-1.979899497487437,2.4063968033649344e-30
-1.9597989949748744,8.393706373459014e-30
-1.9396984924623115,2.3200044385004032e-29
-1.9195979899497488,5.959185237685685e-29
-1.899497487437186,1.4849569157881254e-28
-1.879396984924623,3.643596734614428e-28
-1.8592964824120604,8.853122159867724e-28
-1.8391959798994975,2.1348431416570697e-27
-1.8190954773869348,5.113778364625938e-27
-1.7989949748743719,1.2172374010935355e-26
-1.778894472361809,2.879600828140665e-26
-1.7587939698492463,6.770792520462599e-26
-1.7386934673366834,1.5823394804312684e-25
-1.7185929648241207,3.6755915066775056e-25
-1.6984924623115578,8.486413638108697e-25
-1.678391959798995,1.947547678965217e-24
-1.6582914572864322,4.4424157438961985e-24
-1.6381909547738693,1.0072007998035597e-23
-1.6180904522613067,2.2697536670619733e-23
-1.5979899497487438,5.0841162361781633e-23
-1.5778894472361809,1.131930438548125e-22
-1.557788944723618,2.5048966483906862e-22
-1.5376884422110553,5.509692827490998e-22
-1.5175879396984926,1.2045803518014291e-21
-1.4974874371859297,2.617620720872767e-21
-1.4773869346733668,5.6539256958453865e-21
-1.457286432160804,1.2138434432337954e-20
-1.4371859296482412,2.5902462946866052e-20
-1.4170854271356785,5.493957852538025e-20
-1.3969849246231156,1.1582360005158351e-19
-1.3768844221105527,2.4270642394883225e-19
-1.3567839195979898,5.055137503745994e-19
-1.3366834170854272,1.046527197509421e-18
-1.3165829145728645,2.153445817567163e-18
-1.2964824120603016,4.4043976177921356e-18
-1.2763819095477387,8.953851282164385e-18
-1.2562814070351758,1.8092658494936005e-17
-1.236180904522613,3.6337978135003924e-17
-1.2160804020100502,7.254096701148567e-17
-1.1959798994974875,1.4393787044391818e-16
-1.1758793969849246,2.8388290698381997e-16
-1.1557788944723617,5.565052520877244e-16
-1.135678391959799,1.084347438635957e-15
-1.1155778894472361,2.1000686914018457e-15
-1.0954773869346734,4.042679887139749e-15
-1.0753768844221105,7.73513197938058e-15
-1.0552763819095476,1.4710876898691054e-14
-1.035175879396985,2.7808511786700506e-14
-1.015075376884422,5.2249776228731325e-14
-0.9949748743718594,9.757876472983593e-14
-0.9748743718592965,1.8113275094232273e-13
-0.9547738693467336,3.3419979023757707e-13
-0.9346733668341709,6.128927660525862e-13
-0.914572864321608,1.1171984561422765e-12
-0.8944723618090451,2.02415449852833e-12
-0.8743718592964824,3.645226481774344e-12
-0.8542713567839195,6.5248973758758044e-12
-0.8341708542713568,1.160894731039308e-11
-0.8140703517587939,2.052947395414506e-11
-0.793969849246231,3.6085301413635307e-11
-0.7738693467336684,6.304543692658982e-11
-0.7537688442211055,1.0948139617106278e-10
-0.7336683417085428,1.889725043113799e-10
-0.7135678391959799,3.242085488963653e-10
-0.693467336683417,5.528633106877123e-10
-0.6733668341708543,9.370858533586102e-10
-0.6532663316582914,1.5787324780802692e-09
-0.6331658291457287,2.643662622148213e-09
-0.6130653266331658,4.400193986953127e-09
-0.5929648241206029,7.279532088233509e-09
-0.5728643216080402,1.1970325175525431e-08
-0.5527638190954773,1.9564746267519695e-08
-0.5326633165829147,3.1784228582409924e-08
-0.5125628140703518,5.132364577775661e-08
-0.49246231155778886,8.237395868784946e-08
-0.4723618090452262,1.3141083388835504e-07
-0.4522613065326633,2.0837247161911403e-07
-0.4321608040201004,3.284101833405131e-07
-0.4120603015075377,5.144737602347926e-07
-0.3919597989949748,8.010797012550721e-07
-0.3718592964824121,1.2398143777507265e-06
-0.3517587939698492,1.9072419936532525e-06
-0.3316582914572863,2.9162361952482592e-06
-0.31155778894472363,4.432095432973177e-06
-0.29145728643216073,6.695172568727857e-06
-0.27135678391959805,1.005270654197873e-05
-0.25125628140703515,1.5002931444943795e-05
-0.23115577889447225,2.225542101673935e-05
-0.21105527638190957,3.281424224863947e-05
-0.19095477386934667,4.8090154033998415e-05
-0.170854271356784,7.005219205490395e-05
-0.1507537688442211,0.0001014268335451562
-0.1306532663316582,0.00014596643656418772
-0.11055276381909551,0.00020879668261700158
-0.09045226130653261,0.0002968693111559756
-0.07035175879396993,0.0004195466629726383
-0.05025125628140703,0.0005893420093920818
-0.03015075376884413,0.0008228669425839267
-0.01005025125628145,0.0011420080134107158
0.010050251256281229,0.001575391223621799
0.03015075376884413,0.002160184532174544
0.05025125628140703,0.0029442900023944098
0.07035175879396993,0.003988998736624927
0.09045226130653283,0.005372139585790008
0.11055276381909529,0.007191823519302712
0.1306532663316582,0.00957082376955051
0.1507537688442211,0.01266164589179497
0.170854271356784,0.016652409868607356
0.1909547738693469,0.02177343790618404
0.2110552763819098,0.02830479030294971
0.23115577889447225,0.03658476225088782
0.25125628140703515,0.04701931441949598
0.27135678391959805,0.06009235134339817
0.29145728643216096,0.07637738050704154
0.31155778894472386,0.09655040287160296
0.3316582914572863,0.1214040973329464
0.3517587939698492,0.15186326218306861
0.3718592964824121,0.1890026072426124
0.391959798994975,0.23406710958841298
0.4120603015075379,0.28849412027263593
0.4321608040201004,0.3539403947102069
0.4522613065326633,0.4323118790427486
0.4723618090452262,0.525800596192882
0.4924623115577891,0.6369287028372945
0.512562814070352,0.7686011123833503
0.5326633165829144,0.9241694691863169
0.5527638190954773,1.1075123164902643
0.5728643216080402,1.3231356525365043
0.5929648241206031,1.5762995212629465
0.613065326633166,1.8731729988344117
0.6331658291457285,2.221045264027357
0.6532663316582914,2.628584195512209
0.6733668341708543,3.1061906315044197
0.6934673366834172,3.666450884046161
0.7135678391959801,4.32476422415127
0.7336683417085426,5.10017631484834
0.7537688442211055,6.016563013761864
0.7738693467336684,7.1042634372212845
0.7939698492462313,8.402484281405975
0.8140703517587942,9.96280582325352
0.8341708542713566,11.854555972342842
0.8542713567839195,14.17315833595317
0.8743718592964824,17.053848264672723
0.8944723618090453,20.694830591265408
0.9145728643216082,25.39891730715935
0.9346733668341707,31.65327732204243
0.9547738693467336,40.29478302766866
0.9748743718592965,52.89311054888928
0.9949748743718594,72.77833342772156
1.0150753768844223,105.4577068292311
1.0351758793969852,inf
1.0552763819095476,inf
1.0753768844221105,inf
1.0954773869346734,inf
1.1155778894472363,inf
1.1356783919597992,76.3225435560773
1.1557788944723617,55.015769689875505
1.1758793969849246,41.69819933557223
1.1959798994974875,32.64320830373356
1.2160804020100504,26.12958441741194
1.2361809045226133,21.252335018697643
1.2562814070351758,17.4900918863672
1.2763819095477387,14.52123461477981
1.2964824120603016,12.136564297520595
1.3165829145728645,10.194120081452526
1.3366834170854274,8.594081303061008
1.3567839195979898,7.264217937199135
1.3768844221105527,6.150936593531138
1.3969849246231156,5.213628585786808
1.4170854271356785,4.420921418703754
1.4371859296482414,3.748188063618011
1.457286432160804,3.175810908071389
1.4773869346733668,2.6879668623771096
1.4974874371859297,2.2717290389692595
1.5175879396984926,1.9164364425404599
1.5376884422110555,1.6132101573456454
1.557788944723618,1.3545972647867417
1.5778894472361809,1.1342901075806833
1.5979899497487438,0.9469190369585414
1.6180904522613067,0.787883356471754
1.6381909547738696,0.6532295381320032
1.658291457286432,0.5395392332928347
1.678391959798995,0.4438521091724835
1.6984924623115578,0.36359858328820494
1.7185929648241207,0.2965447431393138
1.7386934673366836,0.2407493269274718
1.758793969849246,0.19452409476312346
1.778894472361809,0.15640383607494698
1.7989949748743719,0.1251194737893678
1.8190954773869348,0.09957501660244415
1.8391959798994977,0.07882645567470653
1.8592964824120601,0.0620644494250008
1.879396984924623,0.04859835080435805
1.899497487437186,0.037841846257134305
1.9195979899497488,0.029299635149919227
1.9396984924623117,0.022556045738529772
1.9597989949748746,0.017264321525847712
1.979899497487437,0.013137194189861614
2.0,0.009938095101568442
