mi,median_sac_gprs_runtime,first_quartile_sac_gprs_runtime,third_quartile_sac_gprs_runtime,mean_sac_gprs_runtime,median_dyadic_gprs_runtime,first_quartile_dyadic_gprs_runtime,third_quartile_dyadic_gprs_runtime,mean_dyadic_gprs_runtime,mean_sac_gprs_codelength,first_quartile_sac_gprs_codelength,median_sac_gprs_codelength,third_quartile_sac_gprs_codelength,mean_dyadic_gprs_codelength,first_quartile_dyadic_gprs_codelength,median_dyadic_gprs_codelength,third_quartile_dyadic_gprs_codelength,median_a_star_runtime,first_quartile_a_star_runtime,third_quartile_a_star_runtime,mean_a_star_runtime
0.1,1.0,1.0,1.0,1.229,1.0,1.0,1.0,1.162,7.069512312529746,6.062559034313656,6.278512214296573,7.278512214296573,4.221098164176042,2.00071278733724,2.00071278733724,2.00071278733724,3.0,1.0,3.0,2.581
0.95,1.0,1.0,3.0,2.0551,1.0,1.0,2.0,1.791,7.67522032538369,6.373287983296326,7.373287983296326,8.373287983296326,4.646371796544119,2.6764535115422743,2.6764535115422743,5.92979759196991,4.0,3.0,5.0,4.157
1.7999999999999998,2.0,1.0,4.0,2.8072,2.0,1.0,3.0,2.378,8.308898152678221,6.764483513525162,7.898297486707843,9.032111459890526,5.825199567379213,3.272694297353683,5.738191520697704,7.2937470762532595,5.0,4.0,6.0,5.018
2.65,3.0,2.0,5.0,3.6874000000000002,3.0,2.0,4.0,3.084,9.056389401536563,7.962255054514184,8.962255054514184,10.187138718165219,7.0452388806021355,5.079566938241046,6.900335823651942,8.799040512284439,6.0,4.0,7.25,6.029
3.5,4.0,2.0,6.0,4.6593,4.0,2.0,5.0,3.739,9.870720472878457,8.331295652530159,9.525212899150208,10.816088769080281,8.08013814197409,6.072594184294286,8.110403113792916,9.850793484011817,7.0,5.0,9.0,7.08
4.35,5.0,3.0,8.0,5.7141,4.0,3.0,6.0,4.469,10.758538383964853,9.379430631787073,10.635104061849834,11.890777491912592,9.135020669409462,7.161294405799536,9.110616102088773,10.979271677065935,8.0,6.0,10.0,8.101
5.199999999999999,6.0,4.0,9.0,6.8067,5.0,4.0,7.0,5.147,11.678479630362654,10.512077230629487,11.7401506798636,12.968224129097713,10.051208138160757,8.262697011653767,10.070727227018486,11.747066173869074,9.0,7.0,12.0,9.221
6.05,8.0,5.0,10.0,7.929200000000001,6.0,5.0,7.0,5.964,12.61009963497604,10.977157759677091,12.908540179153771,14.045775340200409,11.10645442787866,9.392148508715628,11.130588893694837,12.864863278292779,10.0,8.0,13.0,10.321
6.8999999999999995,9.0,6.0,12.0,9.0922,7.0,5.0,8.0,6.82,13.57841492960288,12.059524000396909,13.934471941788646,15.12205002970104,12.165084316561593,10.348517699648145,12.346343394169256,13.931317223844026,11.0,9.0,14.0,11.422
7.749999999999999,10.0,7.0,13.0,10.257800000000001,8.0,6.0,9.0,7.671,14.54207219725941,13.196339281895217,14.540907172009025,16.138911300209582,13.195928500222104,11.46379817255446,13.434413902254274,15.028488777683808,13.0,10.0,15.0,12.61
8.6,11.0,8.0,14.0,11.422500000000001,9.0,7.0,10.0,8.468,15.501034079014731,14.268302515521738,15.48069725400346,16.74619067710561,14.14140672019965,12.441597790879218,14.157668925551196,15.956538933824104,14.0,11.0,17.0,13.766
9.450000000000001,12.0,9.0,15.0,12.585,9.0,8.0,11.0,9.275,16.459220207035468,15.337805705739086,16.58468785538537,17.732817145173133,15.083889307993319,13.584777863317633,15.19454360185595,16.746426116610976,15.0,12.0,18.0,14.96
10.299999999999999,14.0,11.0,17.0,13.765600000000001,10.0,8.75,12.0,10.081,17.40252562715324,16.358689914599175,17.635541287452714,18.773966973879485,16.01125114627702,14.237723581093793,16.112808967190144,17.901064162732304,16.0,13.0,19.0,16.069
11.15,15.0,12.0,18.0,14.9197,11.0,10.0,13.0,10.941,18.334682919548317,16.85917565222279,18.685955209182215,19.815870541462644,16.987796004615674,15.38337921491672,17.09809175895232,18.73124446994569,17.0,14.0,20.0,17.27
12.0,16.0,13.0,19.0,16.130100000000002,12.0,10.0,13.0,11.797,19.290270475617493,17.85805974597347,19.69487192964526,20.85805974597347,17.9506096996078,16.188774404380013,18.17245768120883,19.730887913870898,18.0,15.0,22.0,18.533
