infdiv,median_sac_gprs_runtime,first_quartile_sac_gprs_runtime,third_quartile_sac_gprs_runtime,mean_sac_gprs_runtime,median_a_star_runtime,first_quartile_a_star_runtime,third_quartile_a_star_runtime,mean_a_star_runtime
5.77078,2.0,1.0,4.0,2.881,6.0,5.0,8.0,6.386
7.163727,2.0,1.0,4.0,2.936,7.0,5.0,9.0,7.241
8.556674,2.0,1.0,4.0,2.9580002,8.0,6.0,10.0,8.08
9.949621,2.0,1.0,4.0,2.993,9.0,7.0,11.0,8.937
11.342568,2.0,1.0,4.0,2.989,10.0,7.0,12.0,9.827001
12.735515,2.0,1.0,4.0,2.9840002,11.0,8.0,13.0,10.746
14.128462,2.0,1.0,4.0,2.993,12.0,9.0,14.0,11.694
15.521408,2.0,1.0,4.0,2.9970002,13.0,10.0,15.0,12.632001
16.914356,2.0,1.0,4.0,2.9970002,14.0,11.0,16.0,13.564001
18.307302,2.0,1.0,4.0,3.006,14.0,12.0,17.0,14.583001
19.700249,2.0,1.0,4.0,3.0140002,15.0,13.0,18.0,15.603001
21.093197,2.0,1.0,4.0,3.0200002,17.0,14.0,19.0,16.66
22.486143,2.0,1.0,4.0,3.029,17.0,15.0,21.0,17.744001
23.87909,2.0,1.0,4.0,3.0340002,19.0,16.0,22.0,19.044
25.272036,2.0,1.0,4.0,3.051,20.0,17.0,24.0,21.032001
26.664982,2.0,1.0,4.0,3.0540001,23.0,19.0,30.0,25.265001
28.057932,2.0,1.0,4.0,3.0570002,30.0,22.0,43.0,35.533
29.450878,2.0,1.0,4.0,3.055,46.0,30.0,80.0,55.392002
30.843822,2.0,1.0,4.0,3.0560002,92.0,51.0,111.0,80.02801
32.23677,2.0,1.0,4.0,3.0590003,116.0,102.75,116.0,100.175
33.62972,2.0,1.0,4.0,3.0660002,121.0,121.0,121.0,113.03901
35.022667,2.0,1.0,4.0,3.0670002,126.0,126.0,126.0,122.17801
36.41561,2.0,1.0,4.0,3.0740001,131.0,131.0,131.0,129.391
37.80856,2.0,1.0,4.0,3.084,136.0,136.0,136.0,135.14601
39.201504,2.0,1.0,4.0,3.084,141.0,141.0,141.0,140.6
40.59445,2.0,1.0,4.0,3.088,146.0,146.0,146.0,145.757
41.9874,2.0,1.0,4.0,3.0900002,151.0,151.0,151.0,150.88501
43.38035,2.0,1.0,4.0,3.095,156.0,156.0,156.0,155.921
44.773296,2.0,1.0,4.0,3.095,161.0,161.0,161.0,161.00002
46.16624,2.0,1.0,4.0,3.098,161.0,161.0,161.0,161.00002
